F10,F11,F2,F3,F4,F5,F6,F7,F8,Current Victorian Liquor Licences for Metro & CBD as of 31/12/2020,F9
MELBOURNE CITY COUNCIL,EMPORIUM SUSHI&NORI PTY LTD,On-Premises Licence,EMPORIUM SUSHI HON,"TENANCY 3-056, LEVEL 3,                            EMPORIUM MELBOURNE, LONSDALE STREET,",MELBOURNE,3000,"TENANCY 3-056, LEVEL 3,                            EMPORIUM MELBOURNE, LONSDALE STREET,",MELBOURNE,32319170,3000
MELBOURNE CITY COUNCIL,JG (EMPORIUM) PTY LTD,On-Premises Licence,JIMMY GRANTS,"TENANCY 3-030, LEVEL 3,                            EMPORIUM MELBOURNE, LONSDALE STREET,",MELBOURNE,3000,"C/O MADE ESTABLISHMENT                             LEVEL 2, 6 PALMER PARADE",CREMORNE,32319188,3121
MELBOURNE CITY COUNCIL,JING JAI THAI PTY LTD,Restaurant and cafe Licence,JING JAI THAI,271 FLINDERS LANE,MELBOURNE,3000,10 QUEENSBERRY CIRCUIT,MULGRAVE,32319235,3170
MELBOURNE CITY COUNCIL,BOWERY TO WILLIAMSBURG (OLIVER LANE) PTY LTD,Restaurant and cafe Licence,BOWERY TO WILLIAMSBURG (OLIVER LANE),16 OLIVER LANE,MELBOURNE,3000,16 OLIVER LANE,MELBOURNE,32319340,3000
MELBOURNE CITY COUNCIL,NGSS PTY LTD,Restaurant and cafe Licence,XTRACTION CAFE,FORECOURT & MEZZANINE LEVELS                       305 WILLIAM STREET,MELBOURNE,3000,FORECOURT & MEZZANINE LEVELS                       305 WILLIAM STREET,MELBOURNE,32319471,3000
MELBOURNE CITY COUNCIL,IDEAL SUITES PTY LTD,Restaurant and cafe Licence,PEGASUS APART' HOTEL,206 A'BECKETT STREET,MELBOURNE,3000,206 A'BECKETT STREET,MELBOURNE,32319497,3000
MELBOURNE CITY COUNCIL,TG CBD PTY LTD,Restaurant and cafe Licence,BEEF NOODLE BAR LA TROBE,SHOP 5 MT ARGUS BUILDING                           284-294 LA TROBE STREET,MELBOURNE,3000,9 /322 - 330 ST KILDA ROAD,ST KILDA,32319502,3182
MELBOURNE CITY COUNCIL,JEAUS PTY LTD,Restaurant and cafe Licence,ZHAN BEERS,GROUND FLOOR                                       474 LITTLE LONSDALE STREET,MELBOURNE,3000,GROUND FLLOR                                       474 LITTLE LONSDALE STREET,MELBOURNE,32319552,3000
MELBOURNE CITY COUNCIL,YI TUO INVESTMENT PTY LTD,Restaurant and cafe Licence,YANG'S DUMPLING 3000,229 EXHIBITION STREET,MELBOURNE,3000,32 MADISON BOULEVARD,MITCHAM,32319609,3132
MELBOURNE CITY COUNCIL,3 BROTHERS ON ELIZABETH PTY LTD,Restaurant and cafe Licence,3 BROTHERSSS,513 ELIZABETH STREET,MELBOURNE,3000,40 VALIANT STREET,CRAIGIEBURN,32319730,3064
MELBOURNE CITY COUNCIL,COCO AND JOE PTY LTD,Restaurant and cafe Licence,COCO AND JOE,"SHOP 1, 320 LITTLE LONSDALE STREET",MELBOURNE,3000,"UNIT1601, 318 LITTLE LONSDALE STREET",MELBOURNE,32319772,3000
MELBOURNE CITY COUNCIL,XU DA (STEVE),Restaurant and cafe Licence,RED CLIFF CHINESE RESTAURANT,"RED CLIFF CHINESE RESTAURANT                       GROUND FLOOR, T1, 256 QUEEN STREET",MELBOURNE,3000,"RED CLIFF CHINESE RESTAURANT                       GROUND FLOOR, T1, 256 QUEEN STREET",MELBOURNE,32319803,3000
