F10,F11,F2,F3,F4,F5,F6,F7,F8,Current Victorian Liquor Licences for Metro & CBD as of 31/12/2020,F9
MELBOURNE CITY COUNCIL,VICTORIA UNIVERSITY OF TECHNOLOGY,On-Premises Licence,VICTORIA UNIVERSITY CONFERENCE CENTRE,LEVEL 12                                           300 FLINDERS STREET,MELBOURNE,3000,LEVEL 12                                           300 FLINDERS STREET,MELBOURNE,32253316,3000
MELBOURNE CITY COUNCIL,T & C FOOD SERVICE PTY LTD,Restaurant and cafe Licence,CAFE GREAT SPACE,SHOP 21                                            45 COLLINS STREET,MELBOURNE,3000,SHOP 21                                            45 COLLINS STREET,MELBOURNE,32253455,3000
MELBOURNE CITY COUNCIL,EASIER ONLINE PTY LTD,Late night (on-premises) Licence,E-FIFTY-FIVE,BASEMENT                                           55-57 ELIZABETH STREET,MELBOURNE,3000,STUDIO 3                                           236-248 BRUNSWICK STREET,FITZROY,32253659,3065
MELBOURNE CITY COUNCIL,ENTER CLOSER PTY LTD,On-Premises Licence,THE BUTTERFLY CLUB ART BAR,LEVELS 1-3                                         256 COLLINS STREET,MELBOURNE,3000,PO BOX 204                                         FLINDERS LANE,MELBOURNE,32253667,8009
PORT PHILLIP CITY COUNCIL,ABDALLAH HASSAN,Restaurant and cafe Licence,THE HIDDEN DEN CAFE,"SHOP 1, 448 ST KILDA ROAD",MELBOURNE,3004,31 NIGHTHAWK BLVD,SOUTH MORANG,32253764,3752
MELBOURNE CITY COUNCIL,MELBOURNE UNDERWATER WORLD PTY LTD,On-Premises Licence,MELBOURNE AQUARIUM,CNR KINGSWAY & QUEENS WHARF ROAD,MELBOURNE,3000,CNR KINGSWAY & QUEENS WHARF ROAD,MELBOURNE,32254655,3000
MELBOURNE CITY COUNCIL,ANTEKA HOLDINGS PTY LTD,Restaurant and cafe Licence,THE QUARTER CAFE,27 DEGRAVES STREET,MELBOURNE,3000,27 DEGRAVES STREET,MELBOURNE,32255295,3000
MELBOURNE CITY COUNCIL,NINE DRAGONS PTY LTD,Restaurant and cafe Licence,TINA'S NOODLE KITCHEN,237 SWANSTON STREET,MELBOURNE,3000,PO BOX 233,MOUNT WAVERLEY,32255368,3149
MELBOURNE CITY COUNCIL,MOORE ZOKI,Restaurant and cafe Licence,LANES EDGE CAFE & BAR,39 BOURKE STREET,MELBOURNE,3000,39 BOURKE STREET,MELBOURNE,32255457,3000
MELBOURNE CITY COUNCIL,BAMBOLA (VIC) PTY LTD,Restaurant and cafe Licence,CAFE E BISCOTTI,41-43 BLOCK PLACE,MELBOURNE,3000,41-43 BLOCK PLACE,MELBOURNE,32255520,3000
MELBOURNE CITY COUNCIL,FINANCIAL INNOVATIONS PTY LTD,Restaurant and cafe Licence,GRASSHOPPERS FEAST,SHOPS 13 & 14 THE CAUSEWAY LANE                    323 BOURKE STREET,MELBOURNE,3000,SHOPS 13 & 14 THE CAUSEWAY LANE                    323 BOURKE STREET,MELBOURNE,32255596,3000
MELBOURNE CITY COUNCIL,SICHUAN HOUSE PTY LTD,Restaurant and cafe Licence,SICHUAN HOUSE,GROUND FLOOR                                       22-26 CORRS LANE,MELBOURNE,3000,L1 65 CARRINGTON ROAD,BOX HILL,32255782,3128
MELBOURNE CITY COUNCIL,BAROON,On-Premises Licence,GENTLEMAN GEORGE,407D ST KILDA ROAD,MELBOURNE,3004,407D ST KILDA ROAD,meobourne south,32256021,3004
MELBOURNE CITY COUNCIL,JOON NAM PTY LTD,Restaurant and cafe Licence,MELBOURNE HWARO BBQ RESTAURANT,562-566 LITTLE BOURKE STREET,MELBOURNE,3000,GROUND FLOOR                                       562 LITTLE BOURKE STREET,MELBOURNE,32256225,3000
MELBOURNE CITY COUNCIL,KDMJ (VIC) PTY LTD,Late night (on-premises) Licence,MANCHURIA,LEVEL 1                                            7-9 WARATAH PLACE,MELBOURNE,3000,LEVEL 1                                            7-9 WARATAH PLACE,MELBOURNE,32256437,3000
PORT PHILLIP CITY COUNCIL,IL LOCALE PTY LTD,On-Premises Licence,IL LOCALE,GROUND FLOOR                                       582-584 ST KILDA ROAD,MELBOURNE,3000,"LEVEL 29, 35 COLLINS STREET",MELBOURNE,32256801,3000
MELBOURNE CITY COUNCIL,CJ UNITED GROUP PTY LTD,Restaurant and cafe Licence,OLD CRYSTAL JADE,3-5 WARATAH PLACE,MELBOURNE,3000,3-5 WARATAH PLACE,MELBOURNE,32256916,3000
MELBOURNE CITY COUNCIL,OLDTOWN (AUST) PTY LTD,Restaurant and cafe Licence,OLDTOWN KOPITIAM,GROUND FLOOR                                       193-195 LITTLE BOURKE STREET,MELBOURNE,3000,GROUND FLOOR                                       193-195 LITTLE BOURKE STREET,MELBOURNE,32257190,3000
MELBOURNE CITY COUNCIL,VALOR CORPORATION PTY LTD,Late night (on-premises) Licence,20 GOLDIE PLACE,14-18 GOLDIE PLACE,MELBOURNE,3000,14 GOLDIE PL.,MELBOURNE,32257271,3000
MELBOURNE CITY COUNCIL,REENIGNE PTY LTD,Restaurant and cafe Licence,CAFE BAR MILE,SHOP 4                                             302-308 FLINDERS LANE,MELBOURNE,3000,11 HAWTHORN COURT,KEILOR EAST,32257459,3033
MELBOURNE CITY COUNCIL,NICK & ALEX PTY LTD,Restaurant and cafe Licence,CUPANDA KITCHEN,106 A'BECKETT STREET,MELBOURNE,3000,2/8 BIRDIE ST,MOUNT WAVERLEY,32257792,3149
MELBOURNE CITY COUNCIL,DURANTE ANGELO,Restaurant and cafe Licence,CAFE INTIMO,439-441 LITTLE COLLINS STREET,MELBOURNE,3000,16 WITHERS STREET,ALBERT PARK,32257946,3206
MELBOURNE CITY COUNCIL,RADE CORP PTY LTD,Restaurant and cafe Licence,ALL 4 U CAFE & BAR,536 LITTLE LONSDALE STREET,MELBOURNE,3000,536 LITTLE LONSDALE STREET,MELBOURNE,32258023,3000
MELBOURNE CITY COUNCIL,SPOTLESS FACILITY SERVICES PTY LTD,On-Premises Licence,ALLIANCE CATERING,549 ST KILDA ROAD,MELBOURNE,3004,ATTN: RISK                                         549 ST KILDA ROAD,MELBOURNE,32258170,3004
MELBOURNE CITY COUNCIL,DON DON AUSTRALIA PTY LTD,Restaurant and cafe Licence,DON DON,SHOPS 5 & 6 340 LITTLE LONSDALE ST,MELBOURNE,3000,GROUND FLOOR 198                                   LITTLE LONSDALE STREET,MELBOURNE,32258188,3000
MELBOURNE CITY COUNCIL,3R COLLABORATIONS PTY LTD,Late night (on-premises) Licence,ROBOT SUSHI & BAR,12 BLIGH PLACE,MELBOURNE,3000,12 BLIGH PLACE,MELBOURNE,32258196,3000
MELBOURNE CITY COUNCIL,CHAN SHANNON,On-Premises Licence,TEA HOUSE AT CHINATOWN AUTHENTIC CHINESE CUISINE,11-17 COHEN PLACE,MELBOURNE,3000,11-17 COHEN PLACE,MELBOURNE,32258358,3000
MELBOURNE CITY COUNCIL,STELLA FRANK,Restaurant and cafe Licence,THE MESS HALL,51 BOURKE STREET,MELBOURNE,3000,51 BOURKE STREET,MELBOURNE,32258421,3000
MELBOURNE CITY COUNCIL,IL TEMPO DEGRAVES PTY LTD,Restaurant and cafe Licence,TEMPO BAR,SHOP 8                                             250 FLINDERS STREET,MELBOURNE,3000,SHOP 8                                             250 FLINDERS STREET,MELBOURNE,32258489,3000
MELBOURNE CITY COUNCIL,WMM PTY LTD,On-Premises Licence,BAR HUMBUG,586 LITTLE BOURKE STREET,MELBOURNE,3000,586 LITTLE BOURKE STREET,MELBOURNE,32258633,3000
MELBOURNE CITY COUNCIL,HALLEDAY JONATHON,On-Premises Licence,FAD GALLERY,14 CORRS LANE,MELBOURNE,3000,14 CORRS LANE,MELBOURNE,32259265,3000
MELBOURNE CITY COUNCIL,FAREAST ENTERPRISE PTY LTD,Restaurant and cafe Licence,YOYO GI,211-213 SWANSTON STREET,MELBOURNE,3000,211-213 SWANSTON STREET,MELBOURNE,32259281,3000
MELBOURNE CITY COUNCIL,THE BLUE HERRING PTY LTD,Restaurant and cafe Licence,STROZZI,333 COLLINS STREET,MELBOURNE,3000,333 COLLINS STREET,MELBOURNE,32259354,3000
MELBOURNE CITY COUNCIL,IGINI JOHN PETER,Restaurant and cafe Licence,CAFE ANDIAMO,36-38 DEGRAVES STREET,MELBOURNE,3000,36-38 DEGRAVES STREET,MELBOURNE,32259613,3000
MELBOURNE CITY COUNCIL,BOND ST. TRADING PTY LTD,Late night (on-premises) Licence,BOND BAR,16-24 BOND STREET,MELBOURNE,3000,"LEVEL 1, 2 DREWERY PLACE",MELBOURNE,32260193,3000
MELBOURNE CITY COUNCIL,AUSTRALIA CUISINE CULTURE GROUP PTY LTD,Restaurant and cafe Licence,HIBACHI JAPANESE GRILL,230 KING STREET,MELBOURNE,3000,230 KING STREET,MELBOURNE,32260703,3000
MELBOURNE CITY COUNCIL,MONASH UNIVERSITY,On-Premises Licence,MONASH UNIVERSITY CONFERENCE CENTRE,LEVEL 7/30 COLLINS STREET,MELBOURNE,3000,LEVEL 7/30 COLLINS STREET,MELBOURNE,32260745,3000
MELBOURNE CITY COUNCIL,ITALIANATE PTY LTD,Late night (on-premises) Licence,LUPINO,39-41 LITTLE COLLINS STREET,MELBOURNE,3000,39-41 LITTLE COLLINS STREET,MELBOURNE,32260999,3000
MELBOURNE CITY COUNCIL,MIZNON AU PTY LTD,Restaurant and cafe Licence,MIZNON ( AUSTRALIA),BASEMENT AND GROUND FLOOR                          59-61 HARDWARE STREET,MELBOURNE,3000,"LEVEL 6, 24 ALBERT ROAD",SOUTH MELBOURNE,32261026,3205
MELBOURNE CITY COUNCIL,BOILERMAKER HOUSE PTY LTD,Late night (on-premises) Licence,BOILERMAKER HOUSE,209-211 LONSDALE STREET,MELBOURNE,3000,209-211 LONSDALE STREET,MELBOURNE,32261220,3000
MELBOURNE CITY COUNCIL,THE MESS HALL NOMINEES PTY LTD,On-Premises Licence,SEMPRE PIZZA & CALZONE,49 BOURKE STREET,MELBOURNE,3000,49 BOURKE STREET,MELBOURNE,32261288,3000
MELBOURNE CITY COUNCIL,D&K PACIFIC TRADING PTY LTD,Restaurant and cafe Licence,SCHNITZ - 203 ELIZABETH ST,SHOP 1                                             203-207 ELIZABETH STREET,MELBOURNE,3000,SHOP 1                                             203-207 ELIZABETH STREET,MELBOURNE,32261864,3000
MELBOURNE CITY COUNCIL,BJ TO SONS PTY LTD,On-Premises Licence,STACKWICH,SHOP 2                                             308 LITTLE LONSDALE STREET,MELBOURNE,3000,SHOP 2                                             308 LITTLE LONSDALE STREET,MELBOURNE,32262064,3000
MELBOURNE CITY COUNCIL,CAFE FRAIS PTY LTD,Restaurant and cafe Licence,CAFE FRAIS BLIGH PLACE,"SHOP 5, 10 BLIGH PLACE",MELBOURNE,3000,"SHOP 5, 10 BLIGH PLACE",MELBOURNE,32262535,3000
MELBOURNE CITY COUNCIL,1000 FIG BRANCHES PTY LTD,Restaurant and cafe Licence,FOGLIA DI FICO,585 LATROBE STREET,MELBOURNE,3000,3009 / 288 SPENCER STREET,MELBOURNE,32262967,3000
MELBOURNE CITY COUNCIL,LA LA LAND AUSTRALIA PTY LTD,Late night (on-premises) Licence,LA LA LAND - THE MELBOURNE ROOM,1/391 LITTLE LONSDALE STREET,MELBOURNE,3000,1/391 LITTLE LONSDALE STREET,MELBOURNE,32262983,3000
MELBOURNE CITY COUNCIL,TEMPLE HOTELS PTY LTD,Late night (on-premises) Licence,COOKIE,1ST FLOOR                                          248-258 SWANSTON STREET,MELBOURNE,3000,PO BOX 372,SOUTH MELBOURNE,32263353,3205
MELBOURNE CITY COUNCIL,DR. CROFT PTY LTD,Late night (on-premises) Licence,THE CROFT INSTITUTE MELBOURNE,21-25 CROFT ALLEY,MELBOURNE,3000,21-25 CROFT ALLEY,MELBOURNE,32263426,3000
MELBOURNE CITY COUNCIL,XIN CHANG YANG HANG PTY LTD,Restaurant and cafe Licence,SUNG'S KITCHEN,118 FRANKLIN STREET,MELBOURNE,3000,1905/228 A'BECKETT STREET,MELBOURNE,32263581,3000
MELBOURNE CITY COUNCIL,NOMADS WORLD HOTELS PTY LTD,Late night (on-premises) Licence,UBAR MELBOURNE,8 SPENCER STREET,MELBOURNE,3000,2 SPENCER STREET,MELBOURNE,32263688,3000
MELBOURNE CITY COUNCIL,SAIGONESE PHO PTY LTD,Restaurant and cafe Licence,SAIGONESE PHO,SHOP 1                                             391 ST KILDA ROAD,MELBOURNE,3001,"SHOP 1, 391 ST KILDA RD",MELBOURNE,32263793,3004
MELBOURNE CITY COUNCIL,PLAYDIUM PTY LTD,Late night (on-premises) Licence,LUSTRE BAR,"SHOP 4A, CENTRE PLACE                              LEVEL 1, 252 FLINDERS LANE",MELBOURNE,3000,PO BOX 23062,DOCKLANDS,32264147,3008
MELBOURNE CITY COUNCIL,FAMOUS FOUR PTY LTD,Late night (on-premises) Licence,NEW GUERNICA,2ND FLOOR                                          318-322 LITTLE COLLINS STREET,MELBOURNE,3000,LEVEL 2                                            318-322 LITTLE COLLINS STREET,MELBOURNE,32264155,3000
MELBOURNE CITY COUNCIL,PALADIO INVESTMENTS PTY LTD,On-Premises Licence,THE TRUST,407 FLINDERS LANE,MELBOURNE,3000,405-411 FLINDERS LANE,MELBOURNE,32264163,3000
MELBOURNE CITY COUNCIL,BETAL LEAF PTY LTD,On-Premises Licence,RICE PAPER SISTER,13-15 HARDWARE LANE,MELBOURNE,3000,PO BOX 241                                         FLINDERS LANE,MELBOURNE,32264294,8009
MELBOURNE CITY COUNCIL,CALEE PTY LTD,On-Premises Licence,COFFEA COFFEE,519-521 ELIZABETH STREET,MELBOURNE,3000,519-521 ELIZABETH STREET,MELBOURNE,32264618,3000
MELBOURNE CITY COUNCIL,ALONG A COAST PTY LTD,On-Premises Licence,PINCHY'S CO,SHOP 101/1ST FLOOR MIDCITY ARCADE                  200 BOURKE STREET,MELBOURNE,3000,1662 MALVERN ROAD,GLEN IRIS,32264715,3166
MELBOURNE CITY COUNCIL,SUNNY WISDOM PTY LTD,Restaurant and cafe Licence,SUNNY WISDOM,146-148 LITTLE BOURKE STREET,MELBOURNE,3000,16 PAYNE STREET,GLEN IRIS,32264919,3146
MELBOURNE CITY COUNCIL,SJLP & CO PTY LTD,Restaurant and cafe Licence,GOURMET CURRY HUT,SHOPS 3 & 4                                        318 LITTLE COLLINS STREET,MELBOURNE,3000,SHOPS 3 & 4                                        318 LITTLE COLLINS STREET,MELBOURNE,32265232,3000
MELBOURNE CITY COUNCIL,JING YU PTY LTD,Restaurant and cafe Licence,THE CRANE RESTAURANT,212 LITTLE BOURKE STREET,MELBOURNE,3000,212 LITTLE BOURKE STREET,MELBOURNE,32265915,3000
MELBOURNE CITY COUNCIL,SPIRIT FINGERS PTY LTD,Late night (on-premises) Licence,DOUBLE HAPPINESS BAR,GROUND FLOOR                                       21 LIVERPOOL STREET,MELBOURNE,3000,PO BOX 24360,MELBOURNE,32266288,3001
MELBOURNE CITY COUNCIL,NKD GROUP PTY LTD,Restaurant and cafe Licence,NEW KUM DEN CHINESE RESTAURANT,7-9 WARATAH PLACE,MELBOURNE,3000,8/27 GROOM STREET,CLIFTON HILL,32267200,3068
MELBOURNE CITY COUNCIL,TRIOS PTY LTD,On-Premises Licence,TIME OUT CAFE,"T017A, FEDERATION SQUARE                           CORNER FLINDERS & SWANSTON STREETS",MELBOURNE,3000,ATTN: DAVID ELIA                                   PO BOX 601,ESSENDON,32267535,3040
MELBOURNE CITY COUNCIL,CHOCOLATE BUDDHA PTY LTD,Restaurant and cafe Licence,CHOCOLATE BUDDHA,"T102, FEDERATION SQUARE                            CORNER FLINDERS & SWANSTON STREETS",MELBOURNE,3000,"T102, FEDERATION SQUARE                            CORNER FLINDERS & SWANSTON STREETS",MELBOURNE,32267721,3000
MELBOURNE CITY COUNCIL,SPOTLESS FACILITY SERVICES PTY LTD,On-Premises Licence,ZINC AT FEDERATION SQUARE,TENANCY T021 FEDERATION SQUARE                     CNR FLINDERS & SWANSTON STREET,MELBOURNE,3000,ATTN: RISK                                         549 ST KILDA ROAD,MELBOURNE,32267747,3004
MELBOURNE CITY COUNCIL,EAU-DE-VIE SPEAKEASY (MELBOURNE) PTY LTD,Restaurant and cafe Licence,EDV MELBOURNE,1 MALTHOUSE LANE,MELBOURNE,3000,1 MALTHOUSE LANE,MELBOURNE,32267941,3000
MELBOURNE CITY COUNCIL,HOUSE OF NOODLES PTY LTD,Late night (on-premises) Licence,KIRK'S HORSE BAZAAR,397 LITTLE LONSDALE STREET,MELBOURNE,3000,"C/- BOSS PRIVATE CLIENTS PTY LTD                   LEVEL 2, 428 LITTLE BOURKE STREET",MELBOURNE,32268167,3000
MELBOURNE CITY COUNCIL,EP6 MANAGEMENT PTY LTD,On-Premises Licence,DOUBLETREE BY HILTON MELBOURNE - FLINDERS STREET,270-272 FLINDERS STREET,MELBOURNE,3000,270-272 FLINDERS STREET,MELBOURNE,32268175,3000
MELBOURNE CITY COUNCIL,PARASKEVOPOULOS GEORGE,Restaurant and cafe Licence,ISSUS,8-10 CENTRE PLACE,MELBOURNE,3000,8-10 CENTRE PLACE,MELBOURNE,32268248,3000
PORT PHILLIP CITY COUNCIL,GRECH PETER JAMES,On-Premises Licence,610 CAFE,610 ST KILDA ROAD,MELBOURNE,3004,SHOP T1                                            610 ST KILDA ROAD,MELBOURNE,32268329,3004
MELBOURNE CITY COUNCIL,HOSPITALITYM GROUP PTY LTD,On-Premises Licence,HERO AT ACMI,"TENANCY T161A, FEDERATION SQUARE                   CORNER FLINDERS & SWANSTON STREETS",MELBOURNE,3000,15 ROBINSON STREET,Prahran,32268337,3181
PORT PHILLIP CITY COUNCIL,PLAY MANAGEMENT PTY LTD,Restaurant and cafe Licence,PHO CAFE & GRILL,GROUND FLOOR                                       606 ST KILDA ROAD,MELBOURNE,3004,PO BOX 999,MOONEE PONDS,32268921,3039
MELBOURNE CITY COUNCIL,RETURNED & SERVICES LEAGUE OF AUSTRALIA (VIC BRANCH) INC,On-Premises Licence,ANZAC HOUSE,LEVEL 1                                            4-6 COLLINS STREET,MELBOURNE,3000,LEVEL 1                                            4-6 COLLINS STREET,MELBOURNE,32269171,3000
MELBOURNE CITY COUNCIL,QIAN LONG ZAN PTY LTD,Restaurant and cafe Licence,ANTS BISTRO,SHOPS 8 & 9                                        CORRS LANE,MELBOURNE,3000,SHOP 7 & 9 CORRS LANE,MELBOURNE,32269252,3000
MELBOURNE CITY COUNCIL,FOOD STORY ENTERPRISES PTY LTD,On-Premises Licence,,406 LONSDALE STREET,MELBOURNE,3000,406 LONSDALE STREET,MELBOURNE,32269325,3000
MELBOURNE CITY COUNCIL,AS EVENTS MANAGEMENT PTY LTD,Restaurant and cafe Licence,MIONMA,50 MARKET STREET,MELBOURNE,3000,LEVEL 14                                           50 MARKET STREET,MELBOURNE,32269430,3000
MELBOURNE CITY COUNCIL,LOOP 23 PTY LTD,Late night (on-premises) Licence,LOOP,19-23 MEYERS PLACE,MELBOURNE,3000,PO BOX 18401                                       45 COLLINS STREET,MELBOURNE,32269456,3000
PORT PHILLIP CITY COUNCIL,AMANTRIAN INVESTMENTS PTY LTD,Restaurant and cafe Licence,THE ROYAL DOMAIN CAFE,"GROUND FLOOR, 360 ST KILDA ROAD",MELBOURNE,3000,"SHOP 11, 360 ST KILDA ROAD",MELBOURNE,32270130,3000
MELBOURNE CITY COUNCIL,HIGUCHI KENJI,Restaurant and cafe Licence,GYPSY & PIG RESTAURANT,SHOP 3                                             391 LITTLE LONSDALE STREET,MELBOURNE,3000,21/667 GLENHUNTLY ROAD,CAULFIELD,32270148,3162
MELBOURNE CITY COUNCIL,KARAM NOMINEES PTY LTD,Restaurant and cafe Licence,AJ'S TERRACE,PART GROUND FLOOR                                  45 WILLIAM STREET,MELBOURNE,3000,22 PINNAROO AVENUE,CLIFTON SPRINGS,32270334,3222
MELBOURNE CITY COUNCIL,AL ASSEM PTY LTD,On-Premises Licence,MAMA'S CANTEEN,FEDERATION SQUARE COMPLEX (T122A)                  CNR FLINDERS AND SWANSTON STREETS,MELBOURNE,3000,1/60 TOORAK ROAD,SOUTH YARRA,32270465,3141
PORT PHILLIP CITY COUNCIL,LAWN TENNIS ASSOCIATION OF AUSTRALIA LTD,On-Premises Licence,AUSTRALIAN OPEN TENNIS - ALBERT RESERVE,46 QUEENS ROAD,MELBOURNE,3004,PRIVATE BAG 6060,RICHMOND SOUTH,32270821,3121
MELBOURNE CITY COUNCIL,CRAZY WING PTY LTD,Restaurant and cafe Licence,NUMBER ONE RICE NOODLE,234 LITTLE BOURKE STREET,MELBOURNE,3000,23 BEVAN STREET,BALWYN,32271152,3103
MELBOURNE CITY COUNCIL,AVC OPERATIONS PTY LTD,Late night (on-premises) Licence,EUROPEAN BIER CAFE,120 EXHIBITION STREET,MELBOURNE,3000,"LEGAL & LICENSING                                  LEVEL 3, 616 ST KILDA RD",MELBOURNE,32271364,3000
MELBOURNE CITY COUNCIL,STRIKE AUSTRALIA PTY LTD,Late night (on-premises) Licence,STRIKE CITY,L1 296 & L2 249-253 QV DEVELOPMENT                 210 LONSDALE STREET,MELBOURNE,3000,90-94 NICHOLSON STREET,ABBOTSFORD,32271623,3067
MELBOURNE CITY COUNCIL,SAFE OZ PTY LTD,On-Premises Licence,NAR BANGKOK,SHOP 2/391 ST KILDA ROAD,MELBOURNE,3000,SHOP 2/391 ST KILDA ROAD,MELBOURNE,32271827,3000
MELBOURNE CITY COUNCIL,GRILL'D PTY LTD,Restaurant and cafe Licence,GRILL'D (QV),"SHOP 17-23, LEVEL 2, QV COMPLEX                    CORNER SWANSTON AND LONSDALE STREETS",MELBOURNE,3000,LEVEL 2                                            2-10 AMSTERDAM STREET,RICHMOND,32271843,3121
MELBOURNE CITY COUNCIL,R & R TASTEBUDS PTY LTD,Restaurant and cafe Licence,BASIL WITH THYME,GROUND FLOOR                                       271 WILLIAM STREET,MELBOURNE,3000,GROUND FLOOR 271 WILLIAM ST,MELBOURNE,32271851,3000
MELBOURNE CITY COUNCIL,QV TEPPANYAKI & SUSHI BAR PTY LTD,Restaurant and cafe Licence,HAKATA GENSUKE QV,200 LONSDALE STREET,MELBOURNE,3000,200 LONSDALE STREET,MELBOURNE,32272394,3000
MELBOURNE CITY COUNCIL,YAKINIKU RESTAURANT PTY LTD,Late night (on-premises) Licence,SHOYA RESTAURANT,25 MARKET LANE,MELBOURNE,3000,25 MARKET LANE,MELBOURNE,32272409,3000
MELBOURNE CITY COUNCIL,DREAM ON DEVELOPMENTS PTY LTD,On-Premises Licence,MURMUR,1ST FLOOR                                          17 WARBURTON LANE,MELBOURNE,3000,1ST FLOOR                                          17 WARBURTON LANE,MELBOURNE,32272548,3000
MELBOURNE CITY COUNCIL,VALEWOOD PROPERTY PTY LTD,Restaurant and cafe Licence,MUSASHI RAMEN,181 RUSSELL STREET,MELBOURNE,3000,181 RUSSELL STREET,MELBOURNE,32272661,3000
MELBOURNE CITY COUNCIL,XIA JING QI PTY LTD,Restaurant and cafe Licence,NIKKI RAMEN,"SHOP 013, MELBOURNE CENTRAL                        211 LATROBE STREET",MELBOURNE,3000,85 ILLAWARRA RD,HAWTHORN,32272776,3122
MELBOURNE CITY COUNCIL,BLACKSMITH PTY LTD,Restaurant and cafe Licence,FLINDERS LANE MERCHANTS,100 FLINDERS LANE,MELBOURNE,3000,PO BOX 769 LOWER,BRUNSWICK,32273065,3056
MELBOURNE CITY COUNCIL,VAKALIS JOHN,On-Premises Licence,THE JOURNAL,"SHOP 1, 253 FLINDERS LANE",MELBOURNE,3000,253 FLINDERS LANE,MELBOURNE,32273439,3000
MELBOURNE CITY COUNCIL,PCS GROUP AUSTRALIA PTY LTD,Restaurant and cafe Licence,FIVE66 CAFE - BAR - RESTAURANT,566-568 FLINDERS STREET,MELBOURNE,3000,"C/O MP BURKE COMMERCIAL                            LEVEL 4, 30 COLLINS STREET",MELBOURNE,32273489,3000
MELBOURNE CITY COUNCIL,SANTINA 27 PTY LTD,Restaurant and cafe Licence,SANTINA 27,60 HARDWARE LANE,MELBOURNE,3000,"SUITE 101, 416-418                                 MT ALEXANDER ROAD",ASCOT VALE,32273552,3032
MELBOURNE CITY COUNCIL,MCNAMARA MARCUS BRIAN,On-Premises Licence,JUNGLE JUICE BAR,SHOP 20                                            CENTRE PLACE,MELBOURNE,3000,SHOP 20                                            CENTRE PLACE,MELBOURNE,32273609,3000
MELBOURNE CITY COUNCIL,VICTORIA HARBOURSIDE KITCHEN PTY LTD,On-Premises Licence,THE HARBOUR KITCHEN,"SHOP 1, VICTORIA HARBOUR                           800 BOURKE STREET",MELBOURNE,3000,"SHOP 1, VICTORIA HARBOUR                           800 BOURKE STREET",MELBOURNE,32273714,3000
MELBOURNE CITY COUNCIL,SECRET KITCHEN PTY LTD,Restaurant and cafe Licence,SHOPHOUSE KITCHEN,TENANCY 29-31 QV DEVELOPMENT                       210 LONSDALE STREET,MELBOURNE,3000,"SHOP 29-31                                         QV SQUARE, 210 LONSDALE",MELBOURNE,32273722,3000
MELBOURNE CITY COUNCIL,NGOC MAI PTY LTD,On-Premises Licence,CHOCOLATE FROG CAFE,670 BOURKE STREET,MELBOURNE,3000,911/668 BOURKE STREET,MELBOURNE,32273837,3000
MELBOURNE CITY COUNCIL,BAJAJ AND PUNSHI AND CO PTY LTD,Restaurant and cafe Licence,FLORA INDIAN RESTAURANT,238A FLINDERS STREET,MELBOURNE,3000,238A FLINDERS STREET,MELBOURNE,32273934,3000
MELBOURNE CITY COUNCIL,MELBOURNE CRUISING RESTAURANTS PTY LTD,On-Premises Licence,FLORENCE ON THE YARRA,SOUTHGATE & FEDERATION WHARVES,MELBOURNE,3000,"VAULT 11, BANANA ALLEY                             FLINDERS STREET",MELBOURNE,32274265,3000
MELBOURNE CITY COUNCIL,CY & MY ENTERPRISES PTY LTD,Late night (on-premises) Licence,WATERMARK DOCKLANDS,SHOP 9 VICTORIA HARBOUR                            800 BOURKE STREET,MELBOURNE,3000,4 MASKELL COURT,FYANSFORD,32274338,3218
MELBOURNE CITY COUNCIL,COLLINGWOOD FOOTBALL CLUB LIMITED,On-Premises Licence,COLLINGWOOD FOOTBALL CLUB,"MSEC/OLYMPIC PARK                                  OLYMPIC PARK, SWAN STREET",MELBOURNE,3001,PO BOX 165,ABBOTSFORD,32274702,3067
MELBOURNE CITY COUNCIL,ELYEN PTY LTD,On-Premises Licence,CAFE VICTORIA,517 ELIZABETH STREET,MELBOURNE,3000,517 ELIZABETH STREET,MELBOURNE,32274883,3000
MELBOURNE CITY COUNCIL,DA GUIDO PTY LTD,Restaurant and cafe Licence,DA GUIDO 365,365 LITTLE COLLINS STREET,MELBOURNE,3000,"SHOP 1, 365 LITTLES COLLINS STREET",MELBOURNE,32275017,3000
MELBOURNE CITY COUNCIL,PWD INVESTMENTS PTY LTD,Restaurant and cafe Licence,TAN HOT POT,130 BOURKE STREET,MELBOURNE,3000,130 BOURKE STREET,MELBOURNE,32275075,3000
MELBOURNE CITY COUNCIL,KIM CHI WOONG,Restaurant and cafe Licence,WHITE TOMATO,160 BOURKE STREET,MELBOURNE,3000,160 BOURKE STREET,MELBOURNE,32275203,3000
MELBOURNE CITY COUNCIL,ANDRAOS NOMINEES PTY LTD,Restaurant and cafe Licence,ST. BREW,PART GROUND FLOOR                                  700 COLLINS STREET,MELBOURNE,3000,PART GROUND FLOOR                                  700 COLLINS STREET,MELBOURNE,32275334,3000
MELBOURNE CITY COUNCIL,LA CHINESCA PTY LTD,Late night (on-premises) Licence,LA CHINESCA,BASEMENT                                           71 COLLINS STREET,MELBOURNE,3000,BASEMENT                                           71 COLLINS STREET,MELBOURNE,32275376,3000
