Asset Clas,Asset Subt,Asset Type,Descriptio,Geo Point 2D,Geo Shape,Mcc Id,Model Desc,Model No,Objectid,Prop Id,Roadseg Id,Str Id,Addressp 1,Addresspt,Addresspt1
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 3,"-37.797718982545234, 144.97371355429843","{""coordinates"": [144.97371355429843, -37.797718982545234], ""type"": ""Point""}",1241410,Sign - Public Transport 1 Panel,P.16,26637,0,20597,1241410,262,103056,27.13230305
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.817826903011145, 144.95914143862726","{""coordinates"": [144.95914143862726, -37.817826903011145], ""type"": ""Point""}",1245321,Sign - Public Transport 1 Panel,P.16,26870,0,20181,1245321,135,507646,37.0409387
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.81441952750176, 144.9544447576371","{""coordinates"": [144.9544447576371, -37.81441952750176], ""type"": ""Point""}",1477822,Sign - Public Transport 1 Panel,P.16,26969,0,20014,1477822,259,105716,32.15648272
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.81101801255496, 144.95912232576214","{""coordinates"": [144.95912232576214, -37.81101801255496], ""type"": ""Point""}",1237229,Sign - Public Transport 1 Panel,P.16,27098,0,20024,1237229,280,527567,21.70019438
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.82824301520561, 144.97131044726999","{""coordinates"": [144.97131044726999, -37.82824301520561], ""type"": ""Point""}",1239035,Sign - Public Transport 1 Panel,P.16,28118,0,22704,1239035,0,0,0
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.79958533655315, 144.9576673729389","{""coordinates"": [144.9576673729389, -37.79958533655315], ""type"": ""Point""}",1233941,Sign - Public Transport 1 Panel,P.16,28127,0,22514,1233941,290,633969,53.64351101
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.81313468607944, 144.9517210522907","{""coordinates"": [144.9517210522907, -37.81313468607944], ""type"": ""Point""}",1252887,Sign - Public Transport 1 Panel,P.16,28440,0,20030,1252887,334,562944,13.98277844
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 3,"-37.82692534062149, 144.90290267710523","{""coordinates"": [144.90290267710523, -37.82692534062149], ""type"": ""Point""}",1244907,Sign - Public Transport 1 Panel,P.16,29149,0,22168,1244907,226,580037,43.26397154
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 3,"-37.797767642321304, 144.9741533290422","{""coordinates"": [144.9741533290422, -37.797767642321304], ""type"": ""Point""}",1547409,Sign - Public Transport 1 Panel,P.16,29611,0,20597,1547409,241,103052,29.23997683
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 3,"-37.8026621513541, 144.96975397673893","{""coordinates"": [144.96975397673893, -37.8026621513541], ""type"": ""Point""}",1479412,Sign - Public Transport 1 Panel,P.16,30149,0,20558,1479412,120,528461,46.16875812
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 1,"-37.799222676258466, 144.95073019282864","{""coordinates"": [144.95073019282864, -37.799222676258466], ""type"": ""Point""}",1576816,Sign - Public Transport 1 Panel,P.16,30396,0,22684,1576816,331,508949,53.80754171
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.789581766621325, 144.9688057046247","{""coordinates"": [144.9688057046247, -37.789581766621325], ""type"": ""Point""}",1252544,Sign - Public Transport 1 Panel,P.16,31096,0,22508,1252544,0,0,0
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 13,"-37.83180250187986, 144.9717147014062","{""coordinates"": [144.9717147014062, -37.83180250187986], ""type"": ""Point""}",1249156,Sign - Public Transport 1 Panel,P.16,31499,0,22467,1249156,0,0,0
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 3,"-37.82311374998954, 144.9370368413254","{""coordinates"": [144.9370368413254, -37.82311374998954], ""type"": ""Point""}",1261560,Sign - Public Transport 1 Panel,P.16,32010,0,22131,1261560,88,637409,30.2906768
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.82357696553344, 144.97021045708078","{""coordinates"": [144.97021045708078, -37.82357696553344], ""type"": ""Point""}",1239395,Sign - Public Transport 1 Panel,P.16,32385,0,22466,1239395,175,566451,35.24283401
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 12,"-37.79828271711812, 144.9206180551749","{""coordinates"": [144.9206180551749, -37.79828271711812], ""type"": ""Point""}",1235578,Sign - Public Transport 1 Panel,P.16,33087,0,21845,1235578,130,559172,17.94134959
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.80581892901135, 144.95574943791024","{""coordinates"": [144.95574943791024, -37.80581892901135], ""type"": ""Point""}",1257172,Sign - Public Transport 1 Panel,P.16,33808,0,20953,1257172,118,109829,13.61319889
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.795242474806884, 144.94679942011058","{""coordinates"": [144.94679942011058, -37.795242474806884], ""type"": ""Point""}",1249773,Sign - Public Transport 1 Panel,P.16,34067,0,21232,1249773,225,100076,18.06322576
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.77697303920087, 144.94970928774234","{""coordinates"": [144.94970928774234, -37.77697303920087], ""type"": ""Point""}",1244488,Sign - Public Transport 1 Panel,P.16,35126,0,30708,1244488,163,639767,36.15520837
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 12,"-37.79836645634628, 144.94459154393613","{""coordinates"": [144.94459154393613, -37.79836645634628], ""type"": ""Point""}",1249845,Sign - Public Transport 1 Panel,P.16,35336,0,21166,1249845,348,104584,33.08519101
