Block Id,Census Year,Clue Small Area,Commercial Accommodation,Common Area,Community Use,Educational Research,Entertainment Recreation Indoor,Equipment Installation,Hospital Clinic,House Townhouse,Institutional Accommodation,Manufacturing,Office,Park Reserve,Parking Commercial Covered,Parking Commercial Uncovered,Parking Private Covered,Parking Private Uncovered,Performances Conferences Ceremonies,Private Outdoor Space,Public Display Area,Residential Apartment,Retail Cars,Retail Shop,Retail Showroom,Retail Stall,Sports And Recreation Outdoor,Square Promenade,Storage,Student Accommodation,Total Jobs In Block,Transport,Transport Storage Uncovered,Unoccupied Under Construction,Unoccupied Under Demolition Condemned,Unoccupied Under Renovation,Unoccupied Undeveloped Site,Unoccupied Unused,Wholesale,Workshop Studio
376,2021,North Melbourne,0,0,0,0,29,,38,,0,0,588,0,0,0,0,0,,0,0,0,0,30,0,0,0,0,,0,703,0,0,0,0,0,0,0,0,16
379,2021,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
380,2021,North Melbourne,,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,0,0,0
401,2021,West Melbourne (Residential),0,,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
403,2021,West Melbourne (Residential),0,0,0,0,0,0,0,,0,0,159,0,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,168,0,0,0,0,0,0,0,0,0
409,2021,West Melbourne (Residential),0,0,0,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,18,0,0,0,0,0,0,,0,0
412,2021,West Melbourne (Residential),0,,0,,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,22,0,0,0,0,0,0,,0,0
415,2021,West Melbourne (Residential),0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,0,
422,2021,West Melbourne (Residential),0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
423,2021,West Melbourne (Residential),,0,0,0,28,0,0,0,0,0,0,,0,,,0,0,0,0,,0,21,0,0,0,0,,0,52,0,0,0,0,0,0,,0,0
425,2021,West Melbourne (Residential),0,,0,0,0,0,0,,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
429,2021,West Melbourne (Residential),0,0,0,,0,0,0,0,0,0,77,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,90,0,0,0,0,0,,0,0,
432,2021,West Melbourne (Residential),0,0,0,,,0,0,0,0,0,166,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,307,0,0,0,0,0,,0,0,0
433,2021,West Melbourne (Residential),0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
440,2021,West Melbourne (Residential),0,0,0,0,10,0,,,0,0,184,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,235,0,0,,0,0,,0,0,
442,2021,West Melbourne (Residential),0,,0,,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,237,0,0,0,0,0,0,,0,0
444,2021,West Melbourne (Residential),0,0,0,,,,0,0,,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,0,0,0,0,0,0,,0
501,2021,West Melbourne (Industrial),0,0,0,0,0,0,0,0,0,,362,,0,0,0,,0,0,0,0,0,0,0,0,,0,10,0,421,0,0,0,0,0,0,0,0,0
507,2021,Kensington,0,0,0,0,0,0,0,0,0,,59,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,200,0,0,0,0,0,0,,0,11
509,2021,Kensington,0,,0,0,0,0,0,0,0,,,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,
